a8e9262; observer; 2024-02-21; logging wrong keywords
b1a4e04; observer; 2024-02-20; refactoring the head routines
e7a5cd2; observer; 2024-02-02; fixing image header
579f38b; observer; 2024-02-02; fixing the problem of the date of the image name
967fe3a; observer; 2024-02-02; subs all the sub-systems
3ba9a5a; observer; 2024-02-01; implementing ZeroMQ subs
f3235c0; observer; 2024-02-01; pub status
b1456e0; observer; 2023-10-02; updating exe
b1b029c; observer; 2023-10-02; ABORT command can be used for the WAITING_EXPOSE_COMMAND status
8896425; observer; 2023-10-02; fix: ACS stuck in the WAIT_EXPOSE_COOMAND state
9cbad4c; observer; 2023-09-25; updating exe
1a8f0eb; observer; 2023-09-25; WAITING_EXPOSURE_COMMAND status
dc4dc1a; observer; 2023-07-03; updating exe
e72f375; observer; 2023-06-07; small fixes
932529d; observer; 2023-06-05; small fixes
a9d1e6c; observer; 2023-06-01; updating exe
eac7d71; observer; 2023-05-30; adding GUIDERA and GUIDEDEC to the telemetry message
497a521; observer; 2023-05-30; implementing the wait expose command
631856d; observer; 2023-05-30; adding an initial configuration file
38fba5b; observer; 2023-05-24; updating exe
5ca720e; observer; 2023-05-23; If there is a problem with the TCS message, a warning is created
f08455c; observer; 2023-05-23; ACS writes a warning into the log file when it ignores an EXPOSE command
f162de7; observer; 2023-05-23; See comment
7c81051; observer; 2023-05-22; A panel with the camera config was added to the ACS
4349646; observer; 2023-05-18; adding the keyword for the ICS components
b0eea7d; observer; 2023-05-12; updating exe
21650dd; observer; 2023-05-11; small fixes
71845d2; observer; 2023-05-11; An error log function was added
f939655; observer; 2023-05-08; Update S4ACSp.png
65a3bfc; observer; 2023-05-02; updating exe
7fad6f5; observer; 2023-04-28; fixing image header according to the Julio's script
cb58663; observer; 2023-04-26; parameter ERROR was added into the STATUS message
ca61dfb; observer; 2023-04-25; updating exe
1f740db; observer; 2023-04-24; updating exe
1064e49; observer; 2023-04-20; The WAVEPLATE value is an integer
e4101c0; observer; 2023-04-20; Adding the SET WAVEPLATE_POS command
b65d160; observer; 2023-04-18; updating exe
cb263bc; observer; 2023-04-18; small fixes
8b37ec7; observer; 2023-04-07; updating exe
